79,280,772,294,110,173,113,502,145,304,444,276,201,110,669,136,116,357,251,88,16
109,201,656,88,108,26,47,269,74,194,275,178,205,367,756,98,84,39,205,39,8
17,93,743,125,51,181,83,120,163,79,212,35,161,221,291,83,233,100,40,121,119
58,74,242,67,30,53,87,33,362,346,69,342,101,124,44,158,41,96,165,108,154
93,280,430,53,40,96,4,39,494,406,110,164,107,7,256,75,21,87,12,231,570
73,295,113,50,56,26,39,174,302,406,44,461,100,272,439,160,26,102,52,174,953
39,256,327,99,63,62,130,12,249,101,88,125,88,137,66,146,220,94,206,225,387
46,173,519,59,52,52,3,64,300,105,54,168,66,23,117,146,48,51,79,369,622
0,66,237,137,24,355,53,96,527,381,135,236,167,96,106,135,148,247,149,179,605
36,162,199,187,171,347,61,7,292,142,74,77,79,160,122,84,364,330,352,202,237
45,89,440,153,73,304,82,190,214,195,118,127,69,219,90,29,449,55,45,228,86
145,139,774,300,70,293,65,160,124,221,303,216,240,275,144,70,262,173,196,369,52
53,232,587,480,42,485,125,153,62,449,88,452,55,410,102,53,219,157,362,396,15
0,12,766,15,0,278,9,0,2,84,0,223,0,87,16,0,173,96,304,202,0
26,23,115,61,42,121,56,25,397,63,156,94,40,167,47,59,396,108,417,122,107
37,40,46,31,77,62,78,61,546,142,54,381,94,122,72,59,51,35,56,25,19
20,162,782,83,25,288,191,8,307,238,159,105,72,192,154,27,399,5,234,120,195
212,58,467,190,252,147,246,94,296,383,303,572,272,507,185,149,278,486,406,365,42
11,204,301,154,103,74,84,148,14,66,166,118,158,90,110,67,83,110,95,131,12
87,337,628,251,86,203,52,174,248,135,291,240,142,182,67,44,81,123,323,164,40
44,306,423,305,58,388,105,31,198,133,140,353,121,230,79,78,372,271,417,558,142
0,489,282,504,78,247,286,307,282,446,313,319,218,365,64,46,116,468,279,191,69
180,213,315,310,174,254,64,147,94,186,283,217,44,246,508,110,130,387,72,115,88
180,98,238,86,171,278,144,51,100,140,127,331,148,141,146,133,247,293,99,224,263
10,257,382,293,88,80,71,19,262,250,84,310,79,122,113,42,67,352,209,438,53
68,104,329,196,36,295,117,90,359,93,195,231,45,132,35,65,198,33,139,215,442
54,363,271,321,252,403,113,101,374,297,181,205,197,192,227,140,203,490,443,477,113
7,298,111,419,132,210,344,115,289,244,103,237,120,220,27,407,180,277,312,67,81
0,47,148,73,111,84,120,33,430,317,85,308,123,238,414,74,26,9,10,13,777
0,53,162,95,47,120,100,29,88,169,61,186,101,162,389,45,104,17,0,70,615
