205,121,87,125,222,209,200,145,1,264,31,491,121,216,201,215,354,199,312,135,359
92,57,39,68,112,114,141,97,0,93,0,136,11,217,136,122,159,249,182,144,291
134,101,77,224,219,202,322,515,613,849,539,943,598,848,417,310,330,448,328,237,427
186,83,144,113,170,140,152,71,100,251,84,270,113,149,241,194,164,179,141,98,182
139,73,117,95,129,131,141,278,228,210,253,156,311,305,268,194,146,186,148,106,86
120,23,96,68,71,95,142,149,127,110,154,136,173,321,222,179,35,110,139,110,30
59,20,41,60,63,83,116,86,111,312,86,335,117,316,234,183,78,71,95,96,0
87,58,39,79,70,88,120,96,89,293,95,256,119,330,200,159,67,120,125,92,0
0,0,0,0,1,0,149,1003,923,594,876,460,917,960,281,0,0,118,0,0,0
88,68,224,177,349,270,80,480,527,358,502,76,556,468,3,89,325,355,263,38,152
49,88,95,163,330,151,224,606,642,720,613,770,578,659,240,168,255,691,286,135,234
542,288,299,345,394,295,382,535,322,584,275,604,363,674,347,305,343,474,427,290,548
252,190,163,186,192,184,186,404,346,449,329,624,388,671,137,178,216,254,262,161,424
808,721,717,838,843,827,876,1313,1434,1434,1432,1434,1424,1434,883,823,727,841,697,775,494
654,308,567,530,648,368,642,429,404,482,407,491,429,428,587,807,629,751,754,560,295
216,177,154,239,225,248,184,270,102,361,180,370,117,402,147,172,178,401,192,186,198
0,0,0,99,15,37,102,771,930,1025,786,1007,846,1047,65,13,57,513,11,0,5
848,367,515,416,725,424,471,471,890,438,522,548,579,454,453,392,494,513,624,352,634
788,268,605,632,771,388,754,745,636,742,662,992,682,721,852,826,754,855,932,555,539
249,280,166,315,339,316,227,148,40,291,100,305,108,256,355,361,362,496,408,292,371
302,212,276,274,490,258,105,305,255,478,263,780,404,643,277,247,384,408,447,161,559
219,168,229,234,285,169,148,285,0,329,144,334,130,353,131,171,239,234,250,151,352
639,316,243,370,599,328,482,359,354,740,211,810,405,1035,501,431,672,613,662,405,618
840,248,541,396,850,280,582,508,580,796,583,887,661,809,775,633,796,788,984,523,714
248,159,189,247,209,229,107,292,217,371,243,362,186,481,150,162,173,317,262,176,277
327,211,235,258,352,272,320,408,317,560,316,690,276,687,360,310,327,469,367,237,303
380,115,245,130,475,297,418,130,149,315,66,372,59,329,328,194,336,356,487,244,393
217,164,215,255,205,236,108,275,179,442,272,380,196,411,140,145,143,353,137,155,214
321,217,151,395,305,375,675,350,462,306,517,178,267,506,267,473,399,656,715,331,490
760,337,666,505,735,501,918,739,1142,1416,1152,1245,1173,1398,702,617,858,996,939,557,807
